Type;Sort;Size;Time(ns)
basic mass;binary insertion sort;1300;1285300
basic mass;counting sort;1300;11280
basic mass;radix sort;1300;18290
basic mass;quick sort;1300;252540
basic mass;merge sort;1300;487340
basic mass;heap sort;1300;170960
basic mass;shell(Ciur) sort;1300;76500
basic mass;shell sort;1300;94830
basic mass;bubble sort;1400;6438860
basic mass;bubble(Ayverson1) sort;1400;9318130
basic mass;bubble(Ayverson2) sort;1400;5330920
basic mass;selection sort;1400;3213490
basic mass;insertion sort;1400;1911280
basic mass;binary insertion sort;1400;1430180
basic mass;counting sort;1400;9900
basic mass;radix sort;1400;17790
basic mass;quick sort;1400;278330
basic mass;merge sort;1400;533840
basic mass;heap sort;1400;162650
basic mass;shell(Ciur) sort;1400;73120
basic mass;shell sort;1400;103600
basic mass;bubble sort;1500;7338790
basic mass;bubble(Ayverson1) sort;1500;10868330
basic mass;bubble(Ayverson2) sort;1500;6742090
basic mass;selection sort;1500;4526270
basic mass;insertion sort;1500;2237830
basic mass;binary insertion sort;1500;1676590
basic mass;counting sort;1500;11040
basic mass;radix sort;1500;19890
basic mass;quick sort;1500;342740
basic mass;merge sort;1500;567330
basic mass;heap sort;1500;182800
basic mass;shell(Ciur) sort;1500;83670
basic mass;shell sort;1500;102440
basic mass;bubble sort;1600;8169030
basic mass;bubble(Ayverson1) sort;1600;12478190
basic mass;bubble(Ayverson2) sort;1600;7057090
basic mass;selection sort;1600;4465670
basic mass;insertion sort;1600;2540200
basic mass;binary insertion sort;1600;1989000
basic mass;counting sort;1600;12240
basic mass;radix sort;1600;20270
basic mass;quick sort;1600;383240
basic mass;merge sort;1600;590410
basic mass;heap sort;1600;210650
basic mass;shell(Ciur) sort;1600;86860
basic mass;shell sort;1600;128550
basic mass;bubble sort;1700;9732050
basic mass;bubble(Ayverson1) sort;1700;14869450
basic mass;bubble(Ayverson2) sort;1700;9228150
basic mass;selection sort;1700;7814800
basic mass;insertion sort;1700;3054030
basic mass;binary insertion sort;1700;2167830
basic mass;counting sort;1700;12890
basic mass;radix sort;1700;41760
basic mass;quick sort;1700;629720
basic mass;merge sort;1700;947100
basic mass;heap sort;1700;230780
basic mass;shell(Ciur) sort;1700;115360
basic mass;shell sort;1700;127490
basic mass;bubble sort;1800;12092280
basic mass;bubble(Ayverson1) sort;1800;22960450
basic mass;bubble(Ayverson2) sort;1800;10986160
basic mass;selection sort;1800;5392470
basic mass;insertion sort;1800;3241190
basic mass;binary insertion sort;1800;2502770
basic mass;counting sort;1800;13400
basic mass;radix sort;1800;21970
basic mass;quick sort;1800;465640
basic mass;merge sort;1800;678650
basic mass;heap sort;1800;299640
basic mass;shell(Ciur) sort;1800;123570
basic mass;shell sort;1800;144000
basic mass;bubble sort;1900;14038720
basic mass;bubble(Ayverson1) sort;1900;20814400
